flight_distance,departure_delay_in_minutes,age,gender,customer_type,type_of_travel,class,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,satisfaction
991,0,38,Female,disloyal Customer,Business travel,Eco Plus,3,4,4,3,2,4,2,2,4,5,3,2,4,2,0
748,49,49,Female,Loyal Customer,Business travel,Eco,5,1,1,1,2,4,5,4,4,5,4,4,4,5,1
854,10,46,Female,Loyal Customer,Personal Travel,Eco,1,5,1,3,3,5,5,5,5,1,1,3,5,5,0
337,78,39,Male,disloyal Customer,Business travel,Business,2,1,1,1,2,1,2,2,3,4,5,5,5,2,0
154,0,74,Female,Loyal Customer,Business travel,Eco,3,5,4,5,4,3,4,3,3,3,3,2,3,3,0
931,0,37,Female,disloyal Customer,Business travel,Business,2,2,2,3,3,2,3,3,2,5,2,2,3,3,0
425,9,64,Male,Loyal Customer,Personal Travel,Eco Plus,2,2,2,2,2,2,2,2,3,2,2,1,3,2,0
541,0,11,Male,Loyal Customer,Personal Travel,Eco Plus,1,5,1,1,4,1,4,4,4,4,5,3,5,4,0
1747,5,57,Female,Loyal Customer,Personal Travel,Eco,3,2,2,3,1,2,4,1,1,2,1,2,1,3,0
646,0,50,Female,Loyal Customer,Personal Travel,Eco,4,1,4,3,1,4,4,2,2,4,2,3,2,2,0
607,0,8,Male,Loyal Customer,Personal Travel,Eco Plus,2,5,2,3,1,2,4,1,4,2,5,5,5,1,0
338,25,36,Female,Loyal Customer,Business travel,Business,5,5,5,5,4,4,5,4,4,4,4,4,4,4,1
602,0,46,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,5,4,3,3,3,3,4,3,3,1
2513,0,56,Female,Loyal Customer,Business travel,Business,2,3,4,3,1,3,3,2,2,2,2,1,2,4,0
1535,0,25,Female,Loyal Customer,Business travel,Eco Plus,1,3,3,3,1,1,1,1,1,5,3,3,4,1,0
474,6,57,Female,Loyal Customer,Personal Travel,Eco Plus,4,2,4,4,5,4,3,1,1,4,1,4,1,2,0
1906,101,45,Male,Loyal Customer,Business travel,Business,5,3,5,5,2,4,4,5,5,5,5,5,5,5,1
2392,75,44,Male,Loyal Customer,Business travel,Business,4,4,3,3,5,4,3,4,4,3,4,4,4,1,0
255,0,63,Male,Loyal Customer,Business travel,Eco,2,5,3,5,2,2,2,2,4,1,3,2,3,2,0
484,0,44,Female,Loyal Customer,Business travel,Business,1,0,0,4,1,4,3,2,2,0,2,2,2,2,0
2709,0,67,Female,Loyal Customer,Business travel,Business,3,3,3,3,4,1,3,5,5,5,3,4,5,1,1
1620,7,60,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,4,4,5,5,5,5,3,5,4,1
758,0,42,Male,Loyal Customer,Personal Travel,Eco,2,4,2,4,3,2,3,3,3,3,3,4,3,3,0
1637,0,52,Female,Loyal Customer,Business travel,Business,4,4,4,4,3,3,2,5,5,5,5,5,5,3,1
1506,0,31,Female,Loyal Customer,Personal Travel,Business,1,3,1,3,4,1,5,4,3,1,3,3,3,4,0
293,6,67,Male,Loyal Customer,Personal Travel,Eco,2,4,2,4,5,2,5,5,2,1,3,1,3,5,0
129,6,42,Female,Loyal Customer,Business travel,Business,1,1,1,1,5,1,5,4,4,4,4,1,4,4,1
262,0,42,Male,disloyal Customer,Business travel,Eco,2,0,3,2,2,3,2,2,3,3,1,3,4,2,0
354,0,29,Female,Loyal Customer,Personal Travel,Business,3,3,3,3,5,3,5,5,2,2,2,5,5,5,0
476,0,42,Male,Loyal Customer,Business travel,Eco,4,4,4,4,4,4,4,4,3,5,2,4,1,4,1
630,182,44,Male,Loyal Customer,Business travel,Eco,2,4,4,4,2,2,2,1,3,3,3,2,2,2,0
629,0,46,Female,Loyal Customer,Business travel,Eco,4,1,1,1,5,4,3,4,4,4,4,2,4,3,0
1541,7,46,Male,Loyal Customer,Business travel,Business,2,2,2,2,3,4,5,5,5,5,5,4,5,3,1
852,0,45,Female,Loyal Customer,Business travel,Business,4,4,4,4,2,5,4,5,5,5,5,4,5,5,1
259,11,51,Male,Loyal Customer,Business travel,Business,1,1,1,1,1,4,4,1,1,1,1,3,1,2,0
911,38,27,Male,Loyal Customer,Personal Travel,Eco,3,2,3,4,4,3,4,4,1,5,3,3,4,4,0
377,0,52,Male,Loyal Customer,Business travel,Eco,4,1,1,1,4,4,4,4,4,2,1,4,5,4,1
1013,0,31,Male,Loyal Customer,Personal Travel,Business,2,1,2,3,1,2,1,1,4,4,3,2,2,1,0
589,0,37,Male,Loyal Customer,Personal Travel,Eco,2,4,2,4,4,2,4,4,1,4,4,3,2,4,0
874,0,30,Female,Loyal Customer,Business travel,Eco,4,3,3,3,4,3,4,4,4,5,3,2,3,4,0
102,0,53,Male,Loyal Customer,Business travel,Business,2,2,2,2,1,2,2,5,5,5,3,3,5,2,1
1400,49,63,Male,Loyal Customer,Personal Travel,Eco,1,4,1,4,5,1,5,5,5,3,3,5,5,5,0
3041,7,56,Male,Loyal Customer,Business travel,Business,4,4,4,4,2,4,5,4,4,4,4,4,4,4,1
588,0,39,Male,Loyal Customer,Business travel,Business,1,1,1,1,5,5,4,5,5,5,5,5,5,4,1
511,12,34,Male,Loyal Customer,Business travel,Business,2,2,2,2,2,4,4,5,5,5,5,4,5,4,1
1609,0,28,Male,Loyal Customer,Business travel,Business,3,3,3,3,5,5,5,5,3,4,5,5,4,5,1
332,0,61,Female,Loyal Customer,Business travel,Eco,3,1,1,1,4,3,3,3,3,3,3,3,3,2,0
2801,4,58,Male,Loyal Customer,Business travel,Business,1,1,1,1,2,5,4,3,3,4,3,5,3,5,1
853,0,46,Female,Loyal Customer,Personal Travel,Eco,0,4,0,2,5,4,5,5,5,0,1,3,5,5,1
551,0,28,Male,Loyal Customer,Personal Travel,Eco,2,3,2,2,3,2,3,3,3,2,2,5,1,3,0
733,0,62,Male,Loyal Customer,Personal Travel,Eco,3,2,3,3,1,3,1,1,2,4,4,4,3,1,0
250,0,40,Female,Loyal Customer,Business travel,Business,2,2,2,2,4,3,3,2,2,2,2,3,2,1,0
1050,8,46,Male,Loyal Customer,Personal Travel,Eco,1,5,1,1,1,1,1,1,3,3,5,3,5,1,0
376,0,55,Female,Loyal Customer,Business travel,Eco,2,1,1,1,2,2,2,2,2,2,2,2,2,1,0
1012,0,56,Male,Loyal Customer,Personal Travel,Eco,2,5,2,1,3,2,3,3,1,3,4,3,4,3,0
325,3,37,Male,Loyal Customer,Personal Travel,Eco Plus,0,4,0,4,5,0,5,5,4,3,1,4,3,5,1
1135,0,43,Female,Loyal Customer,Business travel,Eco,5,1,1,1,4,3,1,5,5,5,5,4,5,5,1
1846,9,23,Female,Loyal Customer,Business travel,Business,3,5,1,1,3,2,3,3,2,1,3,4,4,3,0
213,101,20,Female,Loyal Customer,Personal Travel,Eco,1,1,1,4,3,1,5,3,4,5,4,2,4,3,0
502,0,25,Female,disloyal Customer,Business travel,Business,5,4,5,2,1,5,1,1,5,3,5,5,4,1,1
228,8,51,Female,Loyal Customer,Business travel,Eco Plus,2,2,2,2,3,4,4,2,2,2,2,4,2,2,0
338,1,49,Male,Loyal Customer,Personal Travel,Eco,2,2,2,4,3,2,3,3,4,3,4,4,4,3,0
515,17,58,Male,Loyal Customer,Business travel,Business,3,3,3,3,4,5,5,5,5,5,5,4,5,5,1
1096,7,66,Male,Loyal Customer,Personal Travel,Eco,1,2,1,3,4,1,4,4,2,3,4,4,3,4,0
258,0,27,Male,Loyal Customer,Personal Travel,Eco,4,1,4,4,2,4,2,2,4,4,3,4,3,2,1
2486,0,23,Female,Loyal Customer,Business travel,Business,2,2,2,2,5,5,5,5,4,1,3,1,2,5,1
752,36,52,Female,disloyal Customer,Business travel,Eco Plus,4,4,4,4,4,4,4,4,3,1,4,1,3,4,0
3350,0,31,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,4,4,4,4,2,4,4,4,4,1
3945,0,7,Female,Loyal Customer,Business travel,Business,2,4,3,4,2,2,2,2,4,2,4,2,3,2,0
1050,0,7,Male,Loyal Customer,Personal Travel,Eco,4,1,4,4,3,4,3,3,2,4,3,4,4,3,1
771,19,29,Male,Loyal Customer,Business travel,Eco Plus,4,1,1,1,4,4,4,4,3,5,5,5,5,4,1
694,0,44,Male,Loyal Customer,Business travel,Eco,5,5,1,5,5,5,5,5,2,5,1,1,3,5,1
1121,6,65,Female,Loyal Customer,Personal Travel,Eco,2,5,2,4,5,4,4,4,4,2,1,3,4,3,0
449,0,45,Male,Loyal Customer,Business travel,Business,3,3,3,3,2,5,4,4,4,4,4,3,4,5,1
3845,27,33,Female,Loyal Customer,Business travel,Business,0,0,0,1,2,5,5,1,1,1,1,5,1,3,1
2577,0,26,Female,Loyal Customer,Business travel,Business,0,0,0,1,4,4,4,4,2,4,4,3,2,4,1
1981,10,41,Male,Loyal Customer,Business travel,Business,1,3,3,3,5,4,4,1,1,1,1,4,1,1,0
811,0,35,Male,disloyal Customer,Business travel,Eco,3,3,3,3,3,1,1,3,3,4,3,1,1,1,0
134,0,26,Female,disloyal Customer,Business travel,Eco,3,3,3,1,3,3,3,3,1,4,2,3,3,3,0
964,0,17,Female,Loyal Customer,Personal Travel,Eco,2,4,3,4,2,3,2,2,3,5,5,5,4,2,0
345,8,66,Female,Loyal Customer,Personal Travel,Eco,3,4,3,5,2,5,4,2,2,3,3,3,2,3,0
1506,10,40,Male,Loyal Customer,Business travel,Business,5,5,5,5,3,4,4,5,5,5,5,4,5,4,1
2796,72,45,Male,Loyal Customer,Business travel,Business,3,3,3,3,5,4,4,4,4,4,4,5,4,5,1
2327,0,41,Female,Loyal Customer,Personal Travel,Eco,2,4,2,2,3,2,3,3,1,4,3,2,5,3,0
1237,21,24,Female,Loyal Customer,Business travel,Eco,5,1,1,1,5,5,4,5,2,4,4,4,5,5,1
476,1,8,Female,Loyal Customer,Personal Travel,Eco,4,2,4,3,4,4,4,4,1,5,4,2,3,4,0
2981,5,48,Male,Loyal Customer,Business travel,Business,1,3,3,3,3,3,4,1,1,1,1,1,1,3,0
1139,0,27,Female,Loyal Customer,Personal Travel,Eco,3,5,4,1,5,4,4,5,3,2,3,4,5,5,0
3334,6,51,Male,Loyal Customer,Business travel,Business,3,3,3,3,2,4,4,5,5,5,5,4,5,3,1
414,0,49,Male,Loyal Customer,Personal Travel,Eco,2,5,2,2,1,2,1,1,5,2,3,1,2,1,0
541,8,44,Male,Loyal Customer,Personal Travel,Eco,4,5,4,3,1,4,1,1,2,4,5,5,2,1,0
2622,56,62,Female,Loyal Customer,Business travel,Business,0,4,0,3,5,4,5,1,1,1,1,3,1,5,1
2402,0,56,Male,Loyal Customer,Personal Travel,Eco,3,0,3,1,3,2,2,4,3,5,4,2,4,2,0
102,0,23,Female,disloyal Customer,Business travel,Business,2,1,2,3,2,2,2,2,3,3,4,4,3,2,0
419,0,49,Female,Loyal Customer,Business travel,Business,5,5,5,5,2,4,5,5,5,5,5,4,5,5,1
925,76,42,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1
320,1,63,Female,Loyal Customer,Business travel,Business,3,3,3,3,5,4,3,3,3,3,3,3,3,4,0
507,0,45,Female,Loyal Customer,Personal Travel,Eco,1,4,2,3,4,5,5,5,5,2,5,3,5,3,0
3676,0,40,Female,Loyal Customer,Business travel,Business,5,5,5,5,2,4,4,5,5,5,5,5,5,5,1
308,11,27,Male,disloyal Customer,Business travel,Eco,2,5,2,4,3,2,3,3,5,4,5,1,3,3,0
1448,0,41,Female,Loyal Customer,Business travel,Eco,3,2,2,2,3,3,3,3,2,3,4,1,3,3,0
3696,12,22,Male,Loyal Customer,Business travel,Business,3,2,2,2,3,3,3,3,2,2,4,3,3,3,0
2248,31,11,Male,Loyal Customer,Personal Travel,Eco,3,5,3,1,2,3,2,2,4,3,5,3,5,2,0
1916,13,47,Male,Loyal Customer,Business travel,Business,3,3,3,3,5,4,4,4,4,4,4,5,4,3,1
1436,0,50,Male,Loyal Customer,Personal Travel,Eco,3,4,3,3,4,3,4,4,4,5,4,2,4,4,0
579,0,76,Male,Loyal Customer,Business travel,Business,5,2,2,2,1,4,3,5,5,4,5,2,5,1,0
480,71,45,Male,Loyal Customer,Business travel,Business,1,1,1,1,3,4,5,4,4,4,4,4,4,4,1
404,39,39,Male,Loyal Customer,Personal Travel,Eco,2,3,2,5,2,2,2,2,5,2,5,1,1,2,0
301,0,48,Female,Loyal Customer,Personal Travel,Eco,3,2,4,3,2,4,3,3,3,4,3,2,3,4,0
354,0,9,Male,Loyal Customer,Personal Travel,Eco,4,5,4,3,1,4,1,1,4,5,5,3,5,1,1
102,3,42,Female,Loyal Customer,Business travel,Eco,2,1,5,1,5,4,3,2,2,2,2,2,2,3,0
2045,0,30,Female,Loyal Customer,Business travel,Business,2,2,2,2,5,5,5,5,5,1,1,4,2,5,1
853,0,24,Female,Loyal Customer,Personal Travel,Eco,2,4,3,1,3,3,3,3,4,2,4,5,4,3,0
920,7,9,Female,Loyal Customer,Business travel,Business,3,3,3,3,3,2,3,3,3,1,3,4,4,3,0
845,0,26,Female,Loyal Customer,Personal Travel,Business,4,4,4,2,4,4,4,4,5,5,4,5,5,4,1
2538,219,28,Male,Loyal Customer,Business travel,Business,3,2,2,2,3,3,3,2,5,4,4,3,3,3,0
1872,0,27,Female,Loyal Customer,Business travel,Business,3,3,3,3,2,2,2,2,5,4,1,4,3,2,1
326,47,55,Female,Loyal Customer,Personal Travel,Eco,3,1,3,1,2,1,2,1,1,3,1,1,1,1,0
936,0,30,Female,Loyal Customer,Personal Travel,Eco,3,4,2,4,4,2,4,4,4,4,5,3,4,4,0
2521,36,37,Male,Loyal Customer,Business travel,Business,1,1,1,1,1,3,2,5,5,5,5,2,5,5,1
3596,0,44,Female,Loyal Customer,Business travel,Business,4,4,4,4,4,4,5,5,5,5,5,5,5,3,1
345,0,46,Female,Loyal Customer,Business travel,Business,2,4,5,4,4,4,3,2,2,2,2,2,2,3,0
672,5,27,Female,disloyal Customer,Business travel,Eco Plus,3,3,3,4,1,3,3,1,3,2,4,3,3,1,0
308,0,65,Female,Loyal Customer,Business travel,Eco,2,4,4,4,5,4,3,1,1,2,1,1,1,3,0
308,83,54,Female,Loyal Customer,Business travel,Eco,2,1,4,4,5,3,3,2,2,2,2,4,2,1,0
1674,4,22,Female,Loyal Customer,Business travel,Eco Plus,5,1,1,1,5,4,5,5,4,3,5,4,1,5,1
460,0,49,Female,Loyal Customer,Business travel,Business,2,2,2,2,2,4,4,2,2,2,2,1,2,2,0
3040,17,48,Female,Loyal Customer,Business travel,Business,5,5,5,5,3,4,4,3,3,3,3,4,3,5,1
409,0,49,Male,Loyal Customer,Business travel,Eco,1,1,4,1,1,1,1,1,1,3,3,1,2,1,0
175,0,22,Male,disloyal Customer,Business travel,Eco,4,1,5,2,5,5,5,5,4,4,3,2,3,5,0
786,1,38,Male,Loyal Customer,Personal Travel,Eco,5,5,5,1,4,5,4,4,3,3,4,4,4,4,1
1363,0,22,Female,disloyal Customer,Business travel,Eco,4,4,4,2,1,4,1,1,5,3,4,4,4,1,1
679,3,29,Female,disloyal Customer,Business travel,Eco,2,2,2,3,2,2,4,2,5,5,1,1,1,2,0
141,0,28,Male,Loyal Customer,Business travel,Business,1,4,4,4,4,4,1,4,3,4,4,2,3,4,0
954,0,66,Male,Loyal Customer,Personal Travel,Eco Plus,3,4,2,4,3,2,3,3,3,3,4,4,4,3,0
414,16,50,Male,Loyal Customer,Business travel,Business,4,4,4,4,3,5,4,5,5,5,5,3,5,4,1
284,60,58,Male,Loyal Customer,Business travel,Eco Plus,5,4,2,4,5,5,5,5,3,2,2,1,2,5,1
142,11,51,Male,Loyal Customer,Business travel,Eco,5,2,3,2,5,5,5,5,2,5,2,1,3,5,1
1101,0,24,Male,disloyal Customer,Business travel,Eco,5,5,5,2,5,5,2,5,3,4,5,5,4,5,1
604,15,60,Female,Loyal Customer,Personal Travel,Eco,2,5,2,5,2,4,5,1,1,2,1,3,1,4,0
73,0,20,Female,disloyal Customer,Business travel,Eco,2,4,2,4,2,2,2,2,3,3,3,1,4,2,0
802,8,29,Male,disloyal Customer,Business travel,Business,2,2,2,1,4,2,1,4,4,4,4,3,4,4,0
888,45,21,Male,Loyal Customer,Personal Travel,Eco,2,4,1,4,4,1,4,4,3,3,3,4,4,4,0
236,49,33,Female,Loyal Customer,Business travel,Business,4,4,4,4,4,2,5,5,5,5,5,5,5,3,1
2331,0,50,Female,Loyal Customer,Business travel,Business,3,3,3,3,3,4,5,3,3,3,3,5,3,5,1
3956,0,48,Female,Loyal Customer,Business travel,Business,0,3,0,3,2,2,3,5,5,5,5,1,5,2,1
500,0,27,Female,disloyal Customer,Business travel,Eco,3,3,3,3,5,3,5,5,4,3,3,1,4,5,0
1754,0,59,Male,Loyal Customer,Personal Travel,Eco,1,5,1,4,4,1,4,4,3,5,3,5,4,4,0
985,0,16,Female,Loyal Customer,Business travel,Eco,0,4,0,3,1,0,1,1,3,5,5,1,4,1,1
1728,2,24,Male,Loyal Customer,Personal Travel,Business,3,3,3,5,2,3,2,2,3,5,5,3,1,2,0
680,0,48,Female,Loyal Customer,Personal Travel,Eco,1,5,1,5,4,5,4,2,2,1,2,5,2,3,0
2995,38,23,Female,Loyal Customer,Business travel,Business,3,3,3,3,3,3,3,3,2,3,4,1,3,3,0
1107,0,31,Female,Loyal Customer,Business travel,Eco Plus,5,5,5,5,5,5,5,5,2,3,1,2,5,5,1
358,0,28,Female,Loyal Customer,Personal Travel,Eco,3,4,3,4,3,3,3,3,5,4,5,3,5,3,0
272,0,59,Female,Loyal Customer,Personal Travel,Eco,2,0,2,3,5,4,5,1,1,2,1,4,1,3,0
429,2,57,Male,Loyal Customer,Business travel,Eco Plus,4,2,2,2,4,4,4,4,4,4,2,3,4,4,1
838,0,26,Female,Loyal Customer,Business travel,Eco Plus,5,1,1,1,5,5,5,5,1,1,5,4,5,5,1
308,4,26,Male,disloyal Customer,Business travel,Eco Plus,4,2,4,3,4,4,4,4,1,5,3,2,2,4,0
646,0,32,Male,Loyal Customer,Personal Travel,Eco,4,2,4,3,1,4,1,1,1,5,3,4,3,1,0
516,1,36,Male,Loyal Customer,Business travel,Eco,2,3,3,3,2,2,2,2,3,4,3,3,4,2,0
1121,0,56,Female,Loyal Customer,Business travel,Business,1,1,1,1,3,5,5,3,3,3,3,5,3,3,1
996,0,31,Female,Loyal Customer,Business travel,Business,1,1,1,1,2,2,2,2,5,3,2,1,2,2,1
241,0,55,Female,Loyal Customer,Business travel,Business,3,3,3,3,4,4,5,5,5,5,5,2,5,3,1
190,0,34,Male,Loyal Customer,Business travel,Business,3,3,3,3,5,4,5,5,5,5,4,4,5,4,1
156,8,40,Female,disloyal Customer,Business travel,Business,3,3,3,3,3,3,3,3,3,3,5,4,5,3,0
775,0,20,Female,disloyal Customer,Business travel,Eco,3,3,3,4,5,3,3,5,3,5,5,2,3,5,0
2486,34,45,Male,Loyal Customer,Business travel,Business,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1
3218,0,30,Male,Loyal Customer,Business travel,Business,4,4,4,4,2,2,2,2,3,4,5,3,5,2,1
577,0,29,Male,disloyal Customer,Business travel,Eco,3,3,3,3,1,3,1,1,4,4,3,1,4,1,0
594,0,39,Male,Loyal Customer,Business travel,Eco Plus,3,2,2,2,3,3,3,3,4,3,2,3,1,3,1
761,1,44,Female,Loyal Customer,Business travel,Eco,4,5,5,5,3,3,3,4,4,4,4,2,4,3,0
2863,0,41,Female,Loyal Customer,Business travel,Business,5,5,5,5,5,4,4,4,4,4,4,4,4,3,1
590,0,54,Female,Loyal Customer,Personal Travel,Eco,2,5,2,2,2,4,4,3,3,2,3,4,3,4,0
102,0,43,Male,Loyal Customer,Business travel,Eco,5,5,5,5,5,5,5,5,4,5,2,5,4,5,1
861,19,46,Female,Loyal Customer,Business travel,Eco,5,1,1,1,2,5,2,5,5,5,5,4,5,3,1
329,75,30,Female,Loyal Customer,Personal Travel,Eco,3,2,3,1,5,3,5,5,2,4,1,3,2,5,0
1619,17,47,Male,Loyal Customer,Business travel,Business,1,1,1,1,4,4,4,4,4,4,4,3,4,5,1
3074,0,42,Male,Loyal Customer,Business travel,Business,2,2,2,2,1,3,3,2,2,2,2,2,2,1,0
2449,0,57,Male,Loyal Customer,Business travel,Business,4,4,4,4,2,5,5,2,2,2,2,4,2,4,1
927,0,30,Female,Loyal Customer,Business travel,Eco,4,1,3,3,4,5,4,4,5,5,2,2,3,4,1
1342,2,28,Female,Loyal Customer,Personal Travel,Eco,4,2,4,4,4,4,4,4,2,5,2,3,4,4,0
867,0,31,Female,Loyal Customer,Personal Travel,Eco,3,1,2,4,2,2,2,2,4,5,4,3,3,2,0
533,0,23,Female,Loyal Customer,Business travel,Eco,3,4,2,4,3,3,3,3,2,4,4,4,3,3,0
1927,0,34,Female,Loyal Customer,Personal Travel,Eco,1,4,1,3,5,1,5,5,3,2,5,4,5,5,0
2955,0,44,Male,Loyal Customer,Business travel,Business,3,5,5,5,2,4,4,3,3,3,3,1,3,3,0
2446,18,54,Male,Loyal Customer,Business travel,Business,3,3,4,3,3,4,5,4,4,4,4,4,4,5,1
2060,0,48,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,5,4,5,5,5,5,5,5,4,1
